Date,Open,High,Low,Close
01/21/2022,"95.81","95.84","95.50","95.64"
01/20/2022,"95.59","95.86","95.42","95.74"
01/19/2022,"95.77","95.79","95.49","95.51"
01/18/2022,"95.22","95.83","95.13","95.73"
01/17/2022,"95.15","95.35","95.04","95.26"
01/14/2022,"94.87","95.27","94.63","95.17"
01/13/2022,"94.99","95.02","94.66","94.79"
01/12/2022,"95.58","95.69","94.91","94.92"
01/11/2022,"95.93","96.07","95.58","95.62"
01/10/2022,"95.74","96.23","95.75","95.99"
01/07/2022,"96.26","96.30","95.71","95.72"
01/06/2022,"96.20","96.39","96.04","96.32"
01/05/2022,"96.31","96.33","95.89","96.17"
01/04/2022,"96.19","96.46","96.03","96.26"
01/03/2022,"95.65","96.33","95.63","96.21"
12/31/2021,"95.99","96.11","95.57","95.97"
12/30/2021,"95.89","96.22","95.86","95.97"
12/29/2021,"96.15","96.40","95.76","95.93"
12/28/2021,"96.07","96.28","96.00","96.20"
12/27/2021,"96.15","96.26","96.05","96.09"
12/24/2021,"96.03","96.28","95.99","96.02"
12/23/2021,"96.03","96.28","95.99","96.06"
12/22/2021,"96.47","96.60","96.02","96.08"
12/21/2021,"96.54","96.64","96.34","96.49"
12/20/2021,"96.67","96.69","96.34","96.55"
12/17/2021,"96.00","96.69","95.88","96.57"
12/16/2021,"96.43","96.45","95.85","96.04"
12/15/2021,"96.55","96.91","96.30","96.51"
12/14/2021,"96.35","96.59","96.10","96.57"
12/13/2021,"96.09","96.45","96.05","96.32"
12/10/2021,"96.22","96.43","95.98","96.10"
12/09/2021,"95.96","96.34","95.97","96.27"
12/08/2021,"96.26","96.38","95.85","95.89"
12/07/2021,"96.30","96.59","96.17","96.37"
12/06/2021,"96.16","96.43","96.13","96.33"
12/03/2021,"96.12","96.45","95.97","96.12"
12/02/2021,"96.07","96.18","95.83","96.16"
12/01/2021,"95.94","96.14","95.67","96.03"
11/30/2021,"96.22","96.64","95.52","95.99"
11/29/2021,"96.16","96.45","96.14","96.34"
11/26/2021,"96.72","96.77","95.75","96.09"
11/25/2021,"96.81","96.82","96.65","96.77"
11/24/2021,"96.53","96.94","96.44","96.88"
11/23/2021,"96.46","96.61","96.31","96.49"
11/22/2021,"96.04","96.55","96.04","96.55"
11/19/2021,"95.59","96.24","95.58","96.03"
11/18/2021,"95.80","95.84","95.52","95.54"
11/17/2021,"95.94","96.24","95.73","95.83"
11/16/2021,"95.47","95.98","95.40","95.92"
11/15/2021,"95.12","95.60","94.97","95.41"
11/12/2021,"95.18","95.27","95.00","95.13"
11/11/2021,"94.84","95.20","94.84","95.18"
11/10/2021,"93.98","94.90","93.97","94.85"
11/09/2021,"94.09","94.15","93.88","93.96"
11/08/2021,"94.25","94.38","93.99","94.05"
11/05/2021,"94.34","94.62","94.19","94.32"
11/04/2021,"93.86","94.47","93.83","94.35"
11/03/2021,"94.12","94.21","93.82","93.86"
11/02/2021,"93.93","94.13","93.82","94.09"
11/01/2021,"94.14","94.31","93.86","93.88"
10/29/2021,"93.36","94.30","93.32","94.12"
10/28/2021,"93.88","93.97","93.28","93.35"
10/27/2021,"93.97","94.01","93.69","93.80"
10/26/2021,"93.97","93.97","93.89","93.95"
10/25/2021,"93.66","93.96","93.48","93.81"
10/22/2021,"93.75","93.79","93.54","93.64"
10/21/2021,"93.58","93.79","93.50","93.77"
10/20/2021,"93.81","93.88","93.54","93.56"
10/19/2021,"93.95","93.95","93.50","93.73"
10/18/2021,"93.95","94.17","93.87","93.95"
10/15/2021,"94.03","93.96","93.96","93.96"
10/14/2021,"94.02","94.08","94.08","94.08"
10/13/2021,"94.52","94.53","94.00","94.08"
10/12/2021,"94.37","94.56","94.23","94.52"
10/11/2021,"94.10","94.40","94.03","94.32"
10/08/2021,"94.21","94.34","93.94","94.07"
10/07/2021,"94.23","94.28","94.08","94.22"
10/06/2021,"93.99","94.45","93.98","94.27"
10/05/2021,"93.83","94.07","93.81","93.98"
10/04/2021,"94.05","94.10","93.68","93.78"
10/01/2021,"94.31","94.39","93.99","94.04"
09/30/2021,"94.35","94.50","94.11","94.23"
09/29/2021,"93.72","94.43","93.67","94.34"
09/28/2021,"93.41","93.81","93.36","93.77"
09/27/2021,"93.28","93.49","93.21","93.38"
09/24/2021,"93.07","93.42","93.05","93.33"
09/23/2021,"93.48","93.52","92.98","93.46"
09/22/2021,"93.23","93.51","92.99","93.46"
09/21/2021,"93.24","93.29","93.05","93.20"
09/20/2021,"93.25","93.45","93.19","93.28"
09/17/2021,"92.88","93.25","92.77","93.20"
09/16/2021,"92.46","92.96","92.46","92.93"
09/15/2021,"92.68","92.68","92.42","92.55"
09/14/2021,"92.62","92.68","92.32","92.62"
09/13/2021,"92.61","92.89","92.57","92.68"
09/10/2021,"92.53","92.65","92.33","92.58"
09/09/2021,"92.71","92.76","92.38","92.48"
09/08/2021,"92.54","92.86","92.47","92.65"
09/07/2021,"92.20","92.57","92.10","92.51"
09/06/2021,"92.13","92.31","92.10","92.22"
09/03/2021,"92.22","92.26","91.95","92.04"
09/02/2021,"92.51","92.54","92.21","92.23"
09/01/2021,"92.66","92.79","92.38","92.45"
08/31/2021,"92.71","92.75","92.40","92.63"
08/30/2021,"92.70","92.79","92.60","92.65"
08/27/2021,"93.03","93.18","92.63","92.69"
08/26/2021,"92.83","93.08","92.81","93.06"
08/25/2021,"92.88","93.13","92.81","92.83"
08/24/2021,"92.99","93.08","92.81","92.89"
08/23/2021,"93.48","93.51","92.95","92.96"
08/20/2021,"93.56","93.73","93.43","93.50"
08/19/2021,"93.14","93.58","93.17","93.57"
08/18/2021,"93.14","93.26","92.96","93.14"
08/17/2021,"92.62","93.17","92.61","93.13"
08/16/2021,"92.53","92.66","92.48","92.63"
08/13/2021,"92.97","93.01","92.47","92.52"
08/12/2021,"92.89","93.04","92.85","93.04"
08/11/2021,"93.07","93.19","92.80","92.92"
08/10/2021,"92.98","93.14","92.94","93.06"
08/09/2021,"92.78","92.99","92.72","92.95"
08/06/2021,"92.27","92.84","92.26","92.80"
08/05/2021,"92.28","92.35","92.12","92.24"
08/04/2021,"92.04","92.31","91.82","92.27"
08/03/2021,"92.06","92.16","91.89","92.08"
08/02/2021,"92.09","92.17","91.91","92.05"
07/30/2021,"91.85","92.20","91.78","92.17"
07/29/2021,"92.27","92.29","91.86","91.86"
07/28/2021,"92.46","92.75","92.24","92.32"
07/27/2021,"92.63","92.84","92.32","92.43"
07/26/2021,"92.91","92.96","92.53","92.65"
07/23/2021,"92.81","93.02","92.78","92.91"
07/22/2021,"92.80","92.92","92.51","92.82"
07/21/2021,"92.97","93.19","92.73","92.75"
07/20/2021,"92.88","93.17","92.80","92.97"
07/19/2021,"92.69","93.04","92.64","92.89"
07/16/2021,"92.59","92.76","92.53","92.69"
07/15/2021,"92.40","92.69","92.27","92.62"
07/14/2021,"92.80","92.83","92.35","92.41"
07/13/2021,"92.23","92.81","92.14","92.75"
07/12/2021,"92.13","92.42","92.08","92.26"
07/09/2021,"92.36","92.54","92.09","92.13"
07/08/2021,"92.70","92.79","92.24","92.42"
07/07/2021,"92.53","92.85","92.43","92.64"
07/06/2021,"92.24","92.66","92.00","92.55"
07/05/2021,"92.23","92.36","92.14","92.21"
07/02/2021,"92.57","92.74","92.18","92.23"
07/01/2021,"92.35","92.60","92.26","92.60"
06/30/2021,"92.08","92.45","92.00","92.44"
06/29/2021,"91.88","92.19","91.86","92.05"
06/28/2021,"91.80","92.02","91.70","91.89"
06/25/2021,"91.83","91.88","91.53","91.85"
06/24/2021,"91.80","91.91","91.66","91.81"
06/23/2021,"91.73","91.90","91.51","91.80"
06/22/2021,"91.88","92.14","91.65","91.76"
06/21/2021,"92.31","92.37","91.83","91.90"
06/18/2021,"91.88","92.41","91.81","92.23"
06/17/2021,"91.43","92.01","91.31","91.89"
06/16/2021,"90.54","91.40","90.44","91.13"
06/15/2021,"90.48","90.68","90.35","90.54"
06/14/2021,"90.50","90.60","90.41","90.52"
06/11/2021,"90.07","90.61","89.96","90.56"
06/10/2021,"90.14","90.31","89.98","90.08"
06/09/2021,"90.13","90.17","89.84","90.12"
06/08/2021,"89.99","90.18","89.96","90.08"
06/07/2021,"90.13","90.30","89.91","89.95"
06/04/2021,"90.47","90.63","90.03","90.14"
06/03/2021,"89.93","90.55","89.89","90.51"
06/02/2021,"89.92","90.25","89.86","89.91"
06/01/2021,"89.81","89.94","89.66","89.83"
05/31/2021,"90.03","90.12","89.82","90.03"
05/28/2021,"90.03","90.44","89.98","90.03"
05/27/2021,"90.08","90.18","89.89","89.97"
05/26/2021,"89.69","90.11","89.59","90.04"
05/25/2021,"89.85","89.87","89.54","89.64"
05/24/2021,"90.03","90.10","89.76","89.84"
05/21/2021,"89.78","90.15","89.65","90.02"
05/20/2021,"90.21","90.23","89.75","89.81"
05/19/2021,"89.78","90.29","89.69","90.19"
05/18/2021,"90.18","90.20","89.69","89.75"
05/17/2021,"90.30","90.43","90.15","90.16"
05/14/2021,"90.76","90.80","90.28","90.32"
05/13/2021,"90.75","90.91","90.59","90.75"
05/12/2021,"90.19","90.80","90.16","90.71"
05/11/2021,"90.24","90.36","89.98","90.14"
05/10/2021,"90.21","90.34","90.04","90.21"
05/07/2021,"90.88","90.96","90.19","90.23"
05/06/2021,"91.27","91.38","90.88","90.95"
05/05/2021,"91.28","91.44","91.17","91.31"
05/04/2021,"91.00","91.40","90.99","91.29"
05/03/2021,"91.30","91.39","90.87","90.95"
04/30/2021,"90.63","91.32","90.59","91.28"
04/29/2021,"90.55","90.79","90.42","90.61"
04/28/2021,"90.90","91.13","90.55","90.61"
04/27/2021,"90.88","91.07","90.81","90.91"
04/26/2021,"90.86","90.99","90.68","90.81"
04/23/2021,"91.29","91.30","90.81","90.86"
04/22/2021,"91.11","91.42","91.00","91.33"
04/21/2021,"91.21","91.43","91.09","91.16"
04/20/2021,"91.05","91.28","90.86","91.24"
04/19/2021,"91.58","91.75","91.03","91.07"
04/16/2021,"91.66","91.81","91.49","91.56"
04/15/2021,"91.63","91.75","91.49","91.69"
04/14/2021,"91.83","91.83","91.57","91.69"
04/13/2021,"92.08","92.33","91.79","91.85"
04/12/2021,"92.18","92.33","92.01","92.14"
04/09/2021,"92.07","92.41","92.03","92.16"
04/08/2021,"92.42","92.48","92.00","92.06"
04/07/2021,"92.32","92.50","92.14","92.46"
04/06/2021,"92.57","92.79","92.27","92.34"
04/05/2021,"93.01","93.11","92.54","92.60"
04/02/2021,"92.89","93.07","92.83","93.01"
04/01/2021,"93.22","93.34","92.88","92.93"
03/31/2021,"93.24","93.44","92.99","93.23"
03/30/2021,"92.91","93.35","92.88","93.30"
03/29/2021,"92.74","92.96","92.72","92.94"
03/26/2021,"92.81","92.87","92.65","92.77"
03/25/2021,"92.60","92.92","92.51","92.53"
03/24/2021,"92.39","92.61","92.34","92.53"
03/23/2021,"91.80","92.40","91.76","92.34"
03/22/2021,"91.74","92.15","91.71","91.74"
03/19/2021,"91.83","92.17","91.66","91.92"
03/18/2021,"91.40","91.90","91.30","91.86"
03/17/2021,"91.86","92.00","91.37","91.44"
03/16/2021,"91.83","92.03","91.68","91.87"
03/15/2021,"91.68","91.97","91.54","91.83"
03/12/2021,"91.43","91.96","91.40","91.68"
03/11/2021,"91.79","91.88","91.37","91.42"
03/10/2021,"92.05","92.24","91.77","91.82"
03/09/2021,"92.46","92.50","91.91","91.96"
03/08/2021,"91.94","92.42","91.84","92.31"
03/05/2021,"91.66","92.19","91.62","91.98"
03/04/2021,"91.01","91.67","90.97","91.63"
03/03/2021,"90.79","91.06","90.63","90.95"
03/02/2021,"91.03","91.39","90.73","90.79"
03/01/2021,"90.93","91.14","90.69","91.04"
02/26/2021,"90.36","90.97","90.13","90.88"
02/25/2021,"90.07","90.29","89.68","90.13"
02/24/2021,"90.10","90.43","89.98","90.18"
02/23/2021,"90.02","90.26","89.94","90.17"
02/22/2021,"90.32","90.58","90.00","90.01"
02/19/2021,"90.57","90.65","90.18","90.36"
02/18/2021,"90.90","90.98","90.54","90.59"
02/17/2021,"90.71","91.06","90.62","90.95"
02/16/2021,"90.29","90.65","90.12","90.51"
02/15/2021,"90.42","90.47","90.27","90.37"
02/12/2021,"90.41","90.74","90.38","90.48"
02/11/2021,"90.46","90.47","90.26","90.42"
02/10/2021,"90.49","90.53","90.25","90.37"
02/09/2021,"90.91","90.93","90.43","90.44"
02/08/2021,"91.03","91.24","90.90","90.93"
02/05/2021,"91.49","91.04","91.04","91.04"
02/04/2021,"91.09","91.58","91.09","91.53"
02/03/2021,"91.05","91.31","90.99","91.17"
02/02/2021,"91.00","91.29","90.80","91.20"
02/01/2021,"90.53","91.06","90.50","90.98"
01/29/2021,"90.56","90.78","90.36","90.58"
01/28/2021,"90.73","90.86","90.41","90.46"
01/27/2021,"90.15","90.88","90.15","90.65"
01/26/2021,"90.39","90.61","90.12","90.17"
01/25/2021,"90.24","90.52","90.08","90.39"
01/22/2021,"90.05","90.31","90.05","90.24"
01/21/2021,"90.42","90.45","90.05","90.13"
01/20/2021,"90.41","90.70","90.28","90.48"
01/19/2021,"90.73","90.76","90.40","90.50"
01/18/2021,"90.76","90.95","90.71","90.77"
01/15/2021,"90.22","90.80","90.22","90.77"
01/14/2021,"90.28","90.58","90.08","90.24"
01/13/2021,"90.00","90.45","89.92","90.36"
01/12/2021,"90.52","90.62","90.03","90.09"
01/11/2021,"90.03","90.73","90.03","90.47"
01/08/2021,"89.83","90.25","89.66","90.10"
01/07/2021,"89.32","89.97","89.32","89.83"
01/06/2021,"89.48","89.80","89.21","89.53"
01/05/2021,"89.90","89.90","89.43","89.44"
01/04/2021,"89.93","89.94","89.42","89.87"
12/31/2020,"89.93","89.93","89.93","89.93"
12/30/2020,"89.98","89.98","89.56","89.68"
12/29/2020,"90.21","90.23","89.85","89.99"
12/28/2020,"90.22","90.38","89.98","90.34"
12/25/2020,"90.33","90.42","90.22","90.22"
12/24/2020,"90.28","90.38","90.15","90.32"
12/23/2020,"90.52","90.67","90.16","90.41"
12/22/2020,"90.09","90.72","90.06","90.65"
12/21/2020,"90.15","91.02","89.92","90.04"
12/18/2020,"89.83","90.13","89.83","90.02"
12/17/2020,"90.27","90.27","89.73","89.82"
12/16/2020,"90.49","90.70","90.13","90.45"
12/15/2020,"90.69","90.82","90.42","90.47"
12/14/2020,"90.76","90.98","90.42","90.71"
12/11/2020,"90.74","91.04","90.62","90.98"
12/10/2020,"91.06","91.15","90.67","90.82"
12/09/2020,"90.92","91.20","90.69","91.09"
12/08/2020,"90.90","91.02","90.75","90.97"
12/07/2020,"90.79","91.24","90.62","90.79"
12/04/2020,"90.71","90.87","90.48","90.70"
12/03/2020,"91.06","91.09","90.51","90.71"
12/02/2020,"91.19","91.50","90.99","91.12"
12/01/2020,"91.95","91.95","91.16","91.31"
11/30/2020,"91.78","92.05","91.51","91.87"
11/27/2020,"92.02","92.05","91.76","91.79"
11/26/2020,"91.95","92.17","91.85","91.99"
11/25/2020,"92.11","92.26","91.93","91.99"
11/24/2020,"92.53","92.56","92.13","92.23"
11/23/2020,"92.37","92.80","92.02","92.51"
11/20/2020,"92.34","92.43","92.21","92.39"
11/19/2020,"92.56","92.72","92.24","92.29"
11/18/2020,"92.44","92.51","92.21","92.32"
11/17/2020,"92.49","92.61","92.27","92.42"
11/16/2020,"92.72","92.84","92.46","92.64"
11/13/2020,"92.95","93.01","92.71","92.76"
11/12/2020,"93.01","93.14","92.78","92.96"
11/11/2020,"92.70","93.21","92.61","93.04"
11/10/2020,"92.76","92.97","92.60","92.75"
11/09/2020,"92.24","92.96","92.13","92.73"
11/06/2020,"92.57","92.82","92.18","92.23"
11/05/2020,"93.34","93.55","92.49","92.53"
11/04/2020,"93.09","94.30","93.09","93.41"
11/03/2020,"94.05","94.05","93.29","93.55"
11/02/2020,"93.89","94.29","93.89","94.13"
10/30/2020,"93.92","94.08","93.65","94.04"
10/29/2020,"93.46","94.10","93.34","93.96"
10/28/2020,"93.15","93.65","93.05","93.41"
10/27/2020,"93.07","93.13","92.79","92.94"
10/26/2020,"92.76","93.11","92.74","93.05"
10/23/2020,"92.93","93.13","92.66","92.77"
10/22/2020,"92.67","92.97","92.61","92.95"
10/21/2020,"93.05","93.07","92.47","92.61"
10/20/2020,"93.42","93.50","93.00","93.07"
10/19/2020,"93.71","93.77","93.21","93.43"
10/16/2020,"93.80","93.88","93.53","93.68"
10/15/2020,"93.43","93.90","93.37","93.86"
10/14/2020,"93.54","93.67","93.25","93.38"
10/13/2020,"93.03","93.60","93.03","93.53"
10/12/2020,"93.06","93.24","93.01","93.07"
10/09/2020,"93.56","93.59","93.01","93.06"
10/08/2020,"93.61","93.78","93.50","93.61"
10/07/2020,"93.83","93.90","93.56","93.63"
10/06/2020,"93.44","93.85","93.34","93.69"
10/05/2020,"93.87","93.87","93.37","93.51"
10/02/2020,"93.73","94.03","93.69","93.84"
10/01/2020,"93.80","93.92","93.53","93.71"
09/30/2020,"93.85","94.19","93.67","93.89"
09/29/2020,"94.24","94.30","93.82","93.89"
09/28/2020,"94.60","94.64","94.15","94.28"
09/25/2020,"94.32","94.74","94.19","94.64"
09/24/2020,"94.38","94.59","94.20","94.35"
09/23/2020,"93.99","94.43","93.93","94.39"
09/22/2020,"93.55","94.08","93.47","93.99"
09/21/2020,"92.97","93.78","92.75","93.66"
09/18/2020,"92.86","93.01","92.77","92.93"
09/17/2020,"93.15","93.59","92.87","92.97"
09/16/2020,"93.08","93.28","92.78","93.21"
09/15/2020,"93.06","93.14","92.79","93.05"
